,title,con.count,lib.count,fish.odds,fish.p,have?
49,A Prayer for Owen Meany,464,1051,1.581690756,3.83E-17,X
1405,The Shadow of the Wind (The Cemetery of Forgotten Books;  #1),322,724,1.56982329,6.07E-12,
1153,The Golden Compass (His Dark Materials; #1),691,1547,1.563667339,1.66E-23,
601,Looking for Alaska,308,681,1.543660477,1.09E-10,
141,Batman: The Dark Knight Returns,272,601,1.54257092,1.53E-09,COMIC
59,A Streetcar Named Desire,297,653,1.534989241,4.04E-10,
474,Heart of Darkness,762,1662,1.523406168,8.82E-23,Y
588,Like Water for Chocolate,298,647,1.515767333,1.56E-09,
1308,The Night Circus,500,1084,1.513861016,5.39E-15,
818,Room,552,1190,1.50540097,5.97E-16,
381,Fight Club,570,1222,1.49707703,5.67E-16,X
254,Cryptonomicon,309,661,1.493435924,3.13E-09,X
1301,The Name of the Rose,445,943,1.479598441,4.38E-12,
100,American Psycho,346,732,1.477027761,1.17E-09,X
1026,The Casual Vacancy,393,827,1.469203858,1.65E-10,
23,A Clockwork Orange,766,1604,1.462446156,1.38E-18,
789,Ready Player One,686,1432,1.45777735,1.41E-16,
194,Cannery Row,319,660,1.444403063,4.47E-08,X
583,Life of Pi,1273,2627,1.441788805,1.20E-27,
1160,The Graveyard Book,388,798,1.435912966,3.24E-09,
1381,The Road,1220,2504,1.43389777,1.05E-25,
286,Death of a Salesman,401,823,1.432900279,1.98E-09,Y
560,King Lear,383,771,1.405405176,3.44E-08,Y
1451,The Sun Also Rises,802,1609,1.40107086,2.59E-15,Y
1252,The Little Prince,698,1400,1.400611142,1.77E-13,
1332,The Phantom Tollbooth,334,665,1.389956514,6.95E-07,
874,So Long; and Thanks for All the Fish (Hitchhiker's Guide; #4),306,601,1.371089517,5.86E-06,
89,All the Light We Cannot See,761,1488,1.36540675,1.56E-12,
700,No Country For Old Men,382,744,1.359694512,8.80E-07,
726,One Flew Over the Cuckoo's Nest,911,1770,1.356863343,3.55E-14,
1071,The Cuckoo's Calling (Cormoran Strike; #1),433,841,1.355979748,2.07E-07,
633,Matilda,376,729,1.35353004,1.51E-06,
216,Childhood's End,329,625,1.326147909,2.86E-05,
844,She's Come Undone,346,651,1.313450377,3.69E-05,
202,Catch-22,1327,2490,1.310626778,9.50E-16,
913,Stranger in a Strange Land,715,1339,1.3075915,5.16E-09,
1124,The Forever War (The Forever War; #1),330,616,1.303073298,9.44E-05,
1375,The Restaurant at the End of the Universe (Hitchhiker's Guide; #2),447,832,1.29940584,6.89E-06,
33,A Farewell to Arms,665,1234,1.295604633,5.93E-08,Y
108,And the Mountains Echoed,430,797,1.293936485,1.49E-05,
1491,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1-5),438,806,1.284643633,2.22E-05,
585,Life; the Universe and Everything (Hitchhiker's Guide; #3),387,704,1.269893634,0.00015097,
333,East of Eden,738,1337,1.264891289,2.44E-07,
1278,The Martian Chronicles,472,855,1.264579239,4.01E-05,
1216,The Joy Luck Club,694,1256,1.263567116,6.39E-07,
1326,The Passage (The Passage; #1),380,685,1.258367957,0.000299372,
1205,The Importance of Being Earnest,403,726,1.257583216,0.000220057,Y
247,Crime and Punishment,1004,1797,1.249788635,1.24E-08,Y
1118,The Fault in Our Stars,1005,1789,1.242970638,2.90E-08,
1464,The Tempest,340,604,1.240065339,0.001480347,Y
175,Brave New World,2121,3760,1.238430576,2.34E-15,Y
1012,The Brothers Karamazov,616,1090,1.235327816,2.52E-05,Y
1335,The Picture of Dorian Gray,952,1682,1.233635977,2.02E-07,Y
34,A Feast for Crows (A Song of Ice and Fire; #4),901,1587,1.229808096,6.37E-07,
1029,The Catcher in the Rye,2668,4688,1.22773893,1.86E-17,
27,A Dance with Dragons (A Song of Ice and Fire; #5),806,1410,1.221364495,5.61E-06,
388,Flowers for Algernon,625,1092,1.219750091,6.95E-05,
399,Foundation (Foundation; #1),768,1341,1.219046665,1.14E-05,
115,Anna Karenina,788,1368,1.21202272,1.58E-05,Y
1618,Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years; #1),656,1136,1.20892958,0.000108784,
843,Sharp Objects,417,718,1.201909476,0.002800057,
262,Dark Places,465,799,1.199454207,0.001816886,
401,Foundation and Empire (Foundation; #2),399,684,1.19663378,0.004461992,
394,For Whom the Bell Tolls,643,1101,1.195341014,0.000311614,
736,Othello,539,916,1.186317208,0.001650495,Y
87,Alice's Adventures in Wonderland & Through the Looking-Glass,526,893,1.185106078,0.002079758,Y
329,Dune (Dune Chronicles; #1),1164,1972,1.182870585,5.06E-06,
1068,The Crucible,577,974,1.178360367,0.001776273,
1598,Watership Down,693,1160,1.168501837,0.001204341,
1277,The Martian,1131,1888,1.165466302,4.60E-05,
536,James and the Giant Peach,426,710,1.163362455,0.013381298,
1182,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy; #1),1632,2712,1.160348882,1.95E-06,
21,A Clash of Kings  (A Song of Ice and Fire; #2),989,1638,1.156247059,0.000302554,
58,A Storm of Swords (A Song of Ice and Fire; #3),1089,1798,1.152666561,0.000205788,
1479,The Time Traveler's Wife,1050,1730,1.150248252,0.000331519,
1137,The Girl on the Train,889,1463,1.14883287,0.001067054,
432,Go Set a Watchman (To Kill a Mockingbird; #2),463,762,1.148782147,0.018619475,
55,A Separate Peace,460,757,1.148686033,0.019696493,
1159,The Grapes of Wrath,1434,2353,1.145638636,4.72E-05,
1593,War and Peace,570,930,1.138960905,0.014610673,Y
616,Macbeth,942,1533,1.136136727,0.00201718,Y
1302,The Name of the Wind (The Kingkiller Chronicle; #1),473,766,1.130454348,0.037524168,
1138,The Girl Who Kicked the Hornet's Nest (Millennium; #3),1212,1944,1.11980888,0.002073436,
1315,The Old Man and the Sea,1299,2083,1.119536783,0.001447151,
438,Gone Girl,1789,2859,1.115842494,0.000284283,
1140,The Girl Who Played with Fire (Millennium; #2),1343,2133,1.108827978,0.003158911,
1162,The Great Gatsby,3331,5157,1.081102014,0.000470378,
713,Of Mice and Men,2221,3437,1.080443807,0.004656321,
1264,The Lovely Bones,1292,1995,1.077926469,0.036243797,
37,A Game of Thrones (A Song of Ice and Fire; #1),1732,2649,1.067713628,0.035118742,
365,Fahrenheit 451,2273,3456,1.061480932,0.028286406,
