Date,Author,Book,ISBN,Politician
2012,PavlichKatie,FastandFurious,1596983213,
2012,PragerDennis,StilltheLastBestHope,61985120,
2011,PrellMichael,Underdogma,193561813X,
2011,PriceTom,SavingtheAmericanMiracle,1456365460,xxx
2011,RasmussenScott,MadAsHell,006199524X,
2011,ReaganMichael,TheNewReaganRevolution,031264454X,
2012,RobisonJames,Indivisible,1455503126,
2011,RoganJamesE,CatchingOurFlag,1935071327,xxx
2012,RoigFranziaManuel,TheRiseofMarcoRubio,1451675453,
2011,RomneyMitt,NoApologyBelieveinAmerica,312671733,
2012,RossDennis,AllPoliticsisReligious,1594733740,xx
2011,RynClaesG,TheNewJacobinism,093278304X,
2011,SalamoneChris,RescueAmerica,160832141X,
2012,SavageMichael,TrickleDownTyranny,006208397X,
2012,SayetEvan,KinderGardenOfEden,1480010421,
2012,SchlaflyPhyllis,NoHigherPower,1621570126,
2011,SchweikartLarry,WhatWouldtheFoundersSay,1595230742,
2012,ScrutonRoger,HowtoThinkSeriouslyAboutthePlanet,199895570,
2012,ShapiroBen,PrimetimePropaganda,006193478X,
2012,ShawJohnT,RichardGLugarStatesmanoftheSenate,253001935,
2011,SimonRogerL,TurningRightatHollywoodandVine,1594034818,
2011,SobierajSarah,Soundbitten,814741371,
2011,SowellThomas,TheThomasSowellReader,1455124826,
2012,SperoAryeh,PushBackReclaimingtheAmericanJudeoChristianSpirit,1581694326,
2011,StakelbeckErick,TheTerroristNextDoor,1596981520,
2011,StanleyCharles,TurningTheTide,1439190623,
2012,StarnesTom,DispatchesfromBitterAmerica,1433672758,
2012,SteynMark,AfterAmerica,1596983272,
2012,StosselJohn,NoTheyCant,1451640943,
2012,SussmanBrian,EcoTyranny,1936488507,
2012,TaylorJohnB,FirstPrinciples,393073394,
2011,TrumpDonaldJ,TimetoGetTough,1596987731,xxx?
2011,TurnerGraceMarie,WhyObamaCareisWrongforAmerica,62076019,
2012,TyrrellREmmett,TheDeathofLiberalism,1469203367,
2011,VadumMatthew,SubversionInc,1935071149,
2011,VenkerSuzanne,TheFlipsideofFeminism,1935071270,
2012,WildersGeert,MarkedforDeath,1596987960,xxx
2012,WIlliamsJuan,MuzzledTheAssaultonHonestDebate,307952029,
2011,WilliamsonKevinD,ThePoliticallyIncorrectGuidetoSocialism,1596986492,
2011,WolfFrank,PrisonerofConscience,310328993,
2011,WoodsThomasE,RollbackRepealingBigGovernmentBeforetheComingFiscalCollapse,1596981415,
