book_name,count,author,genre,isbn,isbn13,good_reads_url,num_pages,num_rating,avg_rating
A Time to Kill (Jake Brigance; #1),1446,Grisham; John,fiction,0385338600,9780385338608,515,551523.0,4.00
Liberty and Tyranny: A Conservative Manifesto,1440,Levin; Mark R.,non-fiction,1416562850,9781416562856,245,5500.0,4.14
Slaughterhouse-Five,1440,Vonnegut; Kurt,fiction,0385333846,9780385333849,215,778187.0,4.04
Blink: The Power of Thinking Without Thinking,1436,Gladwell; Malcolm,fiction,0316010669,9780316010665,296,297033.0,3.86
A Tale of Two Cities,1397,Dickens; Charles,fiction,0141439602,9780141439600,489,607759.0,3.79
Fahrenheit 451,1375,Bradbury; Ray,fiction,0307347974,9780307347978,238,1000774.0,3.96
Little Women (Little Women; #1),1368,Alcott; Louisa May,fiction,0451529308,9780451529305,449,1153769.0,4.02
Pinheads and Patriots: Where You Stand in the Age of Obama,1355,O'Reilly; Bill,non-fiction,0062010603,9780062010605,288,2533.0,3.72
Gone with the Wind,1349,Mitchell; Margaret,fiction,0446675539,9780446675536,"1,037",797804.0,4.27
Night (The Night Trilogy; #1),1348,Wiesel; Elie,fiction,0374500010,9780374500016,115,589889.0,4.27
Killing Kennedy: The End of Camelot,1339,O'Reilly; Bill,non-fiction,0805096663,9780805096668,325,34009.0,4.01
Arguing with Idiots: How to Stop Small Minds and Big Government,1329,Beck; Glenn,non-fiction,1416595015,9781416595014,336,4108.0,3.90
Jane Eyre,1322,Brontë; Charlotte,fiction,0142437204,9780142437209,507,1135145.0,4.08
Mere Christianity,1317,Lewis; C.S.,fiction,0684823780,9780684823782,191,153672.0,4.30
Water for Elephants,1312,Gruen; Sara,fiction,1565125606,9781565125605,335,997923.0,4.06
Demonic: How the Liberal Mob is Endangering America,1310,Coulter; Ann,fiction,0307353486,9780307353481,354,1837.0,3.95
The Scarlet Letter,1298,Hawthorne; Nathaniel,fiction,0142437263,9780142437261,228,493495.0,3.35
Frankenstein,1294,Shelley; Mary,fiction,0141439475,9780141439471,273,772358.0,3.73
Jurassic Park (Jurassic Park; #1),1287,Crichton; Michael,fiction,030734813X,9780307348135,480,576446.0,3.92
The Shack,1275,Young; Wm. Paul,fiction,0964729237,9780964729230,248,367274.0,3.70
Catch-22,1273,Heller; Joseph,fiction,0684833395,9780684833392,453,502586.0,3.97
Glenn Beck's Common Sense: The Case Against an Out-of-Control Government; Inspired by Thomas Paine,1263,Beck; Glenn,non-fiction,1439168571,9781439168578,192,6019.0,3.82
The Hunt for Red October (Jack Ryan Universe; #4),1263,Clancy; Tom,fiction,0425172902,9780425172902,432,247887.0,3.97
The Adventures of Tom Sawyer (Tom Sawyer & Huckleberry Finn; #1),1249,Twain; Mark,fiction,0143039563,9780143039563,225,524801.0,3.88
The Book Thief,1249,Zusak; Markus,fiction,0375831002,9780375831003,552,1026843.0,4.35
The Lost Symbol (Robert Langdon; #3),1239,Brown; Dan,fiction,0385504225,9780385504225,509,354369.0,3.63
Charlotte's Web,1220,White; E.B.,fiction,0064410935,9780064410939,184,903781.0,4.13
The Shining (The Shining; #1),1219,King; Stephen,fiction,0450040186,9780450040184,512,708373.0,4.14
The Odyssey,1215,Homer,fiction,0143039954,9780143039952,560,647835.0,3.71
Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,1211,Silverstein; Shel,fiction,0060513039,9780060513030,176,946121.0,4.27
Into the Wild,1193,Krakauer; Jon,fiction,0385486804,9780385486804,207,559769.0,3.92
The Lovely Bones,1191,Sebold; Alice,fiction,0316166685,9780316166683,328,1473050.0,3.75
The Two Towers (The Lord of the Rings; #2),1175,Tolkien; J.R.R.,fiction,0618346260,9780618346264,322,461205.0,4.40
The Fountainhead,1173,Rand; Ayn,fiction,0451191153,9780451191151,720,233085.0,3.83
The Alchemist,1170,Coelho; Paulo,fiction,0061122416,9780061122415,197,1131122.0,3.79
The Girl Who Played with Fire (Millennium; #2),1163,Larsson; Stieg,fiction,0307269981,9780307269980,752,556295.0,4.21
The Count of Monte Cristo,1162,Dumas; Alexandre,fiction,0140449264,9780140449266,"1,276",533105.0,4.19
The Return of the King (The Lord of the Rings; #3),1147,Tolkien; J.R.R.,fiction,0345339738,9780345339737,490,446446.0,4.49
The Stand,1140,King; Stephen,fiction,0385199570,9780385199575,"1,153",403366.0,4.33
The Devil in the White City: Murder; Magic; and Madness at the Fair that Changed America,1139,Larson; Erik,fiction,0739303406,9780739303405,447,302750.0,3.97
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,1133,Covey; Stephen R.,non-fiction,0743269519,9780743269513,372,240184.0,3.98
The Old Man and the Sea,1130,Hemingway; Ernest,fiction,0684830493,9780684830490,132,459295.0,3.69
Tuesdays with Morrie,1129,Albom; Mitch,fiction,0751529818,9780751529814,224,485516.0,4.03
Memoirs of a Geisha,1112,Golden; Arthur,fiction,0739326228,9780739326220,434,1277302.0,4.06
On the Brink: Inside the Race to Stop the Collapse of the Global Financial System,1092,Jr.; Henry M. Paulson,non-fiction,0446561932,9780446561938,496,1721.0,3.64
The Screwtape Letters,1092,Lewis; C.S.,fiction,0060652896,9780060652890,224,205235.0,4.19
The Grapes of Wrath,1082,Steinbeck; John,fiction,0142000663,9780142000663,455,471545.0,3.90
Life of Pi,1081,Martel; Yann,fiction,0770430074,9780770430078,356,948634.0,3.87
Wuthering Heights,1073,Brontë; Emily,fiction,0393978893,9780393978896,464,841502.0,3.80
The Client,1068,Grisham; John,fiction,0385339089,9780385339087,483,289892.0,3.95
New Moon (Twilight; #2),1061,Meyer; Stephenie,fiction,0316160199,9780316160193,563,1100375.0,3.52
Dune (Dune Chronicles; #1),1037,Herbert; Frank,fiction,0340839937,9780340839935,604,453997.0,4.17
Liberal Fascism: The Secret History of the American Left from Mussolini to the Politics of Meaning,1033,Goldberg; Jonah,non-fiction,0385511841,9780385511841,405,4046.0,3.99
The Road,1033,McCarthy; Cormac,fiction,0307265439,9780307265432,241,500975.0,3.94
Eat; Pray; Love,1029,Gilbert; Elizabeth,fiction,0143038419,9780143038412,334,1071658.0,3.48
Les Misérables,1022,Hugo; Victor,fiction,0451525264,9780451525260,"1,463",503685.0,4.12
The Pillars of the Earth  (The Pillars of the Earth; #1),1020,Follett; Ken,fiction,0451207149,9780451207142,973,430832.0,4.28
Dracula,1018,Stoker; Bram,fiction,0393970124,9780393970128,488,574326.0,3.96
After America: Get Ready for Armageddon,1017,Steyn; Mark,non-fiction,1596981008,9781596981003,349,1612.0,4.12
A Christmas Carol,1016,Dickens; Charles,fiction,1561797464,9781561797462,104,375905.0,4.00
A Thousand Splendid Suns,1016,Hosseini; Khaled,fiction,1594489505,9781594489501,372,737575.0,4.32
The Pelican Brief,1013,Grisham; John,fiction,0385339704,9780385339704,400,255998.0,3.92
The Girl Who Kicked the Hornet's Nest (Millennium; #3),1013,Larsson; Stieg,fiction,030726999X,9780307269997,563,462911.0,4.19
Eclipse (Twilight; #3),1010,Meyer; Stephenie,fiction,0316160202,9780316160209,629,1081292.0,3.70
Going Rogue: An American Life,1006,Palin; Sarah,non-fiction,0061939897,9780061939891,413,10005.0,3.28
How to Win Friends and Influence People,997,Carnegie; Dale,non-fiction,,9780671723651,288,230651.0,4.09
Great Expectations,994,Dickens; Charles,fiction,0192833596,9780192833594,505,443036.0,3.73
Breaking Dawn (Twilight; #4),993,Meyer; Stephenie,fiction,031606792X,9780316067928,756,1031111.0,3.70
Into Thin Air: A Personal Account of the Mount Everest Disaster,992,Krakauer; Jon,non-fiction,0385494785,9780385494786,337,276591.0,4.09
A Clash of Kings  (A Song of Ice and Fire; #2),989,Martin; George R.R.,fiction,0553381695,9780553381696,761,517831.0,4.39
In Cold Blood,989,Capote; Truman,fiction,0679745580,9780679745587,343,368221.0,4.04
Divergent (Divergent; #1),973,Roth; Veronica,fiction,0062024035,9780062024039,487,1798391.0,4.28
The Secret Life of Bees,970,Kidd; Sue Monk,fiction,0142001740,9780142001745,318,837299.0,3.99
A Wrinkle in Time (A Wrinkle in Time Quintet; #1),958,L'Engle; Madeleine,fiction,0440498058,9780440498056,211,554444.0,4.04
Gone Girl,946,Flynn; Gillian,fiction,0297859382,9780297859383,399,1305365.0,4.00
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,944,Burpo; Todd,fiction,0849946158,9780849946158,163,227190.0,4.01
Righteous Indignation: Excuse Me While I Save the World!,941,Breitbart; Andrew,non-fiction,0446572829,9780446572828,258,1291.0,4.27
Lone Survivor: The Eyewitness Account of Operation Redwing and the Lost Heroes of SEAL Team 10,936,Luttrell; Marcus,non-fiction,0316067598,9780316067591,390,51385.0,4.33
The Art of War,932,Sun Tzu,fiction,1590302257,9781590302255,273,165323.0,3.94
The Glass Castle,926,Walls; Jeannette,fiction,074324754X,9780743247542,288,576139.0,4.22
In the Garden of Beasts: Love; Terror; and an American Family in Hitler's Berlin,924,Larson; Erik,fiction,0307408841,9780307408846,365,103991.0,3.78
Hamlet,924,Shakespeare; William,fiction,0521618746,9780521618748,289,504747.0,3.99
The Last Lecture,915,Pausch; Randy,fiction,1401323251,9781401323257,206,216922.0,4.24
The Fault in Our Stars,915,Green; John,fiction,0525478817,9780525478812,313,1927827.0,4.32
Sense and Sensibility,913,Austen; Jane,fiction,0141439661,9780141439662,409,690873.0,4.05
A Bold Fresh Piece of Humanity,906,O'Reilly; Bill,non-fiction,0767928822,9780767928823,256,4255.0,3.91
The Notebook (The Notebook; #1),899,Sparks; Nicholas,fiction,0553816713,9780553816716,214,988932.0,4.05
A Storm of Swords (A Song of Ice and Fire; #3),896,Martin; George R.R.,fiction,055357342X,9780553573428,"1,177",450563.0,4.54
Patriot Games (Jack Ryan Universe; #2),895,Clancy; Tom,fiction,0425134350,9780425134351,503,119146.0,4.08
Moby-Dick; or; The Whale,892,Melville; Herman,fiction,0142437247,9780142437247,663,360210.0,3.44
The Martian,888,Weir; Andy,fiction,0804139024,9780804139021,369,370211.0,4.39
The Bourne Identity (Jason Bourne; #1),877,Ludlum; Robert,fiction,0752864327,9780752864327,566,301502.0,3.95
The Five People You Meet in Heaven,875,Albom; Mitch,fiction,1401308589,9781401308582,196,437431.0,3.89
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,871,Kyle; Chris,fiction,0062107062,9780062107060,528,68076.0,3.96
Macbeth,870,Shakespeare; William,fiction,0743477103,9780743477109,249,464029.0,3.87
The Chronicles of Narnia (Chronicles of Narnia; #1-7),869,Lewis; C.S.,fiction,0066238501,9780066238500,767,360784.0,4.23
The Lord of the Rings (The Lord of the Rings; #1-3),868,Tolkien; J.R.R.,fiction,0618640150,9780618640157,"1,216",379288.0,4.46
Inferno (Robert Langdon; #4),863,Brown; Dan,fiction,0385537859,9780385537858,461,267801.0,3.76
The Giving Tree,859,Silverstein; Shel,fiction,0060256656,9780060256654,64,609668.0,4.37
Treasure Island,855,Stevenson; Robert Louis,fiction,0753453800,9780753453803,311,272546.0,3.81
SuperFreakonomics: Global Cooling; Patriotic Prostitutes And Why Suicide Bombers Should Buy Life Insurance,855,Levitt; Steven D.,non-fiction,0060889578,9780060889579,270,75730.0,3.92
The Runaway Jury,853,Grisham; John,fiction,0385339690,9780385339698,451,204209.0,3.94
One Flew Over the Cuckoo's Nest,850,Kesey; Ken,fiction,0451163966,9780451163967,325,460615.0,4.18
Angela's Ashes (Frank McCourt; #1),845,McCourt; Frank,fiction,0007205236,9780007205233,432,375080.0,4.06
A Feast for Crows (A Song of Ice and Fire; #4),838,Martin; George R.R.,fiction,055358202X,9780553582024,"1,060",408285.0,4.07
The 5000 Year Leap: A Miracle That Changed the World,836,Skousen; W. Cleon,non-fiction,0880801484,9780880801485,337,5533.0,4.26
An Inconvenient Book: Real Solutions to the World's Biggest Problems,834,Beck; Glenn,non-fiction,1416552197,9781416552192,295,3670.0,3.77
Deception Point,834,Brown; Dan,fiction,0671027387,9780671027384,556,408125.0,3.63
The Road to Serfdom,831,Hayek; Friedrich,non-fiction,0226320618,9780226320618,274,11704.0,4.17
The Prince,830,Machiavelli; Niccolò,non-fiction,0937832383,9780937832387,140,154939.0,3.76
Guns; Germs; and Steel: The Fates of Human Societies,821,Diamond; Jared,fiction,0739467352,9780739467350,425,163674.0,3.98
Crime and Punishment,818,Dostoyevsky; Fyodor,fiction,0143058142,9780143058144,545,376078.0,4.16
Insurgent (Divergent; #2),816,Roth; Veronica,fiction,0007442912,9780007442911,525,833016.0,4.10
Holy Bible: King James Version,815,Anonymous,fiction,,,"1,590",152641.0,4.42
11/22/63,811,King; Stephen,fiction,1451627289,9781451627282,842,236980.0,4.27
Green Eggs and Ham,809,Seuss; Dr.,fiction,0394800168,9780394800165,62,436294.0,4.29
America Alone: The End of the World As We Know It,808,Steyn; Mark,non-fiction,0895260786,9780895260789,224,2792.0,4.14
Team of Rivals: The Political Genius of Abraham Lincoln,804,Goodwin; Doris Kearns,non-fiction,0743270754,9780743270755,916,86320.0,4.30
Anthem,802,Rand; Ayn,fiction,0452281253,9780452281257,105,93794.0,3.61
Eragon (The Inheritance Cycle; #1),801,Paolini; Christopher,fiction,0375826696,9780375826696,503,967840.0,3.83
The Picture of Dorian Gray,798,Wilde; Oscar,fiction,0375751513,9780375751516,254,557899.0,4.04
The Time Traveler's Wife,797,Niffenegger; Audrey,fiction,0965818675,9780965818674,528,1165601.0,3.93
World War Z: An Oral History of the Zombie War,795,Brooks; Max,fiction,0307346609,9780307346605,342,293231.0,4.00
Left Behind (Left Behind; #1),794,LaHaye; Tim,fiction,0842342702,9780842342704,342,146115.0,3.80
The Hiding Place,789,ten Boom; Corrie,fiction,0553256696,9780553256697,242,149376.0,4.41
The Magician's Nephew (Chronicles of Narnia; #6),779,Lewis; C.S.,fiction,0060764902,9780060764906,221,265199.0,4.00
The Princess Bride ,778,Goldman; William,fiction,0345418263,9780345418265,398,576452.0,4.25
The Time Machine,777,Wells; H.G.,fiction,0451528557,9780451528551,118,256347.0,3.85
The Audacity of Hope: Thoughts on Reclaiming the American Dream,775,Obama; Barack,non-fiction,0307237699,9780307237699,375,103824.0,3.66
The Big Short: Inside the Doomsday Machine,774,Lewis; Michael,fiction,0393072231,9780393072235,264,71409.0,4.22
The Voyage of the Dawn Treader (Chronicles of Narnia; #3),773,Lewis; C.S.,fiction,006112527X,9780061125270,248,290034.0,4.07
The Overton Window (Overton Window; #1),770,Beck; Glenn,fiction,144230524X,9781442305243,343,5186.0,3.50
No Apology: The Case for American Greatness,769,Romney; Mitt,non-fiction,0312609809,9780312609801,336,1212.0,3.69
The Lightning Thief (Percy Jackson and the Olympians; #1),764,Riordan; Rick,fiction,0786838655,9780786838653,377,1161856.0,4.21
The Andromeda Strain,763,Crichton; Michael,fiction,0060541814,9780060541811,327,157108.0,3.85
Anne of Green Gables (Anne of Green Gables; #1),760,Montgomery; L.M.,fiction,0451528824,9780451528827,320,486973.0,4.21
The Girl on the Train,759,Hawkins; Paula,fiction,1594633665,9781594633669,325,578334.0,3.84
